ID,Name,Age,Club,Position,Wage,IR,Value,PAC,SHO,PAS,DRI,DEF,PHY
330,R. Keane,35,LA Galaxy,ST,10000,2,5500000,68,82,75,82,31,69
1198,F. Inzaghi,37,Milan,ST,15000,3,350000,52,72,49,57,20,35
1845,O. Solskjær,34,Manchester United,ST,0,2,0,64,78,62,75,41,57
3467,Yuri,37,SD Ponferradina,ST,6000,1,850000,66,74,59,69,35,69
5589,Figo,35,Inter,RW,0,5,0,74,77,82,81,46,70
5879,A. Gilardino,34,Spezia,ST,5000,2,1600000,58,71,59,67,29,64
7631,A. Cassano,33,Sampdoria,CF,40000,3,3400000,38,72,84,81,16,46
9676,S. Eto'o,36,Atiker Konyaspor,ST,20000,3,6500000,74,82,74,78,37,70
11795,A. Stansfield,30,Exeter City,ST,0,1,0,61,56,52,56,45,56
13128,A. Shevchenko,32,Ukraine,ST,0,5,0,73,79,63,79,41,65
19521,J. Ibehre,36,Cambridge United,ST,2000,1,45000,60,54,49,55,39,75
20176,Hélder Postiga,32,Rio Ave FC,ST,40000,2,2700000,71,72,61,73,34,74
23015,L. Toni,38,Hellas Verona,ST,40000,3,650000,34,77,53,60,26,65
25420,C. Pizarro,40,SV Werder Bremen,ST,19000,3,0,34,76,73,74,37,64
25798,R. Santa Cruz,38,Olimpia Asunción,ST,500,3,1400000,33,74,61,63,36,62
37576,Ronaldo,33,Corinthians,ST,0,4,0,60,85,76,79,17,55
41233,S. Ameobi,35,Notts County,ST,5000,2,210000,37,63,52,60,36,75
41784,M. Niang,34,AC Arles Avignon,ST,8000,3,375000,73,67,65,65,31,70
46175,M. Rosenberg,36,Malmö FF,ST,6000,1,1100000,64,71,69,68,38,79
49012,K. Kurányi,33,TSG 1899 Hoffenheim,ST,25000,2,2300000,64,74,65,67,34,76
49045,K. Boyd,34,Kilmarnock,ST,6000,1,925000,40,72,57,61,31,71
49072,D. Forlán,35,Uruguay,ST,0,3,0,66,81,79,80,28,66
49369,Fernando Torres,34,Sagan Tosu,ST,8000,3,4700000,70,76,70,76,32,69
50542,J. Defoe,37,Rangers FC,ST,33000,2,1400000,64,78,60,74,26,56
50598,D. Bent,33,Burton Albion,ST,10000,2,1100000,66,71,52,64,26,58
51257,P. Crouch,37,Burnley,ST,30000,2,900000,32,73,65,64,35,57
53050,E. Adebayor,35,Olimpia Asunción,ST,500,3,2600000,63,73,63,68,29,71
53655,J. Bothroyd,38,Hokkaido Consadole Sapporo,ST,2000,2,190000,30,67,61,60,28,70
106019,Adriano,31,Club Athletico Paranaense,ST,30000,2,1500000,40,78,58,67,32,65
106231,Aduriz,38,Athletic Club de Bilbao,ST,27000,3,6500000,59,81,65,73,49,75
110376,Jonatan Soriano,34,Girona FC,ST,8000,2,1200000,56,74,71,74,32,66
111016,Mista,31,Toronto FC,ST,0,2,0,69,68,61,71,35,68
